date,time,tempTemperature,tempFeelsLike,tempDewpoint,tempHumidity,tempPressure,tempVisibility,windDir,tempWindSpeed,tempGustSpeed,tempPrecip,Events,Condition
2017-02-02,2:51 PM,44.1,38.1,16,32,30.02,10,WNW,11.5,18.4,0,None,Mostly Cloudy
2017-03-10,2:51 AM,44.1,38.1,21,40,29.91,10,NNE,11.5,17.3,0,None,Mostly Cloudy
2017-01-26,9:51 PM,44.1,38.1,28,53,29.52,10,West,11.5,31.1,0,None,Clear
2017-11-14,5:31 PM,43,38.2,34,71,30.32,10,NE,8.1,0,0,None,Overcast
2017-03-29,11:51 PM,43,38.2,21.9,43,30.23,10,NNE,8.1,0,0,None,Clear
2017-02-21,11:51 PM,43,38.2,32,65,30.12,10,WSW,8.1,21.9,0,None,Clear
2017-11-21,12:51 AM,43,38.2,24.1,47,30.12,10,WSW,8.1,23,0,None,Clear
2017-11-17,6:51 PM,43,38.2,17.1,35,30.08,10,WNW,8.1,0,0,None,Clear
2017-02-01,6:51 PM,43,38.2,28,56,29.99,10,WNW,8.1,19.6,0,None,Overcast
2017-03-28,2:43 PM,43,38.2,42.1,97,29.93,3,NE,8.1,0,0.07,Rain,Light Rain
2017-12-20,9:51 AM,43,38.2,17.1,35,29.93,10,West,8.1,23,0,None,Overcast
2017-12-20,8:51 AM,43,38.2,17.1,35,29.9,10,NW,8.1,21.9,0,None,Clear
2017-02-18,9:51 AM,43,38.2,21.9,43,29.85,10,WSW,8.1,18.4,0,None,Clear
2017-11-25,6:51 AM,43,38.2,30,60,29.83,10,WSW,8.1,0,0,None,Clear
2017-04-01,11:51 AM,43,38.2,34,71,29.82,10,North,8.1,24.2,0,None,Overcast
2017-01-26,10:51 PM,43,38.2,28,56,29.55,10,West,8.1,25.3,0,None,Partly Cloudy
2017-12-12,4:51 PM,43,38.2,33.1,68,29.42,10,WNW,8.1,0,0,None,Overcast
2017-03-23,4:51 PM,42.1,38.4,-2,16,30.51,10,Variable,5.8,0,0,None,Clear
2017-03-23,5:51 PM,42.1,38.4,-2.9,15,30.5,10,Variable,5.8,0,0,None,Clear
2017-01-01,8:51 PM,42.1,38.4,18,38,30.4,10,NE,5.8,0,0,None,Clear
2017-11-13,8:51 PM,42.1,38.4,34,73,30.32,10,Variable,5.8,0,0,None,Clear
2017-12-02,12:51 AM,42.1,38.4,28,58,30.27,10,ENE,5.8,0,0,None,Clear
2017-11-09,3:51 AM,42.1,38.4,36,79,30.22,10,Variable,5.8,0,0,None,Clear
2017-02-21,7:51 PM,42.1,38.4,32,67,30.2,10,South,5.8,0,0,None,Clear
2017-11-21,4:51 AM,42.1,38.4,28.9,60,30.11,10,Variable,5.8,0,0,None,Clear
