2017-2-13,6:41 AM,  34.0 °F,  25.0 °F,  19.9 °F,56%,  29.72 in,  10.0 mi,WNW,  12.7 mph,  35.7 mph,N/A,	 ,Overcast
2017-2-13,6:51 AM,  34.0 °F,  25.0 °F,  19.9 °F,56%,  29.70 in,  10.0 mi,WNW,  12.7 mph,  27.6 mph,N/A,	 ,Mostly Cloudy
2017-2-13,7:51 AM,  34.0 °F,  23.4 °F,  19.9 °F,56%,  29.71 in,  10.0 mi,WNW,  17.3 mph,  35.7 mph,N/A,	 ,Partly Cloudy
2017-2-13,8:51 AM,  34.0 °F,  25.5 °F,  21.9 °F,61%,  29.73 in,  10.0 mi,WNW,  11.5 mph,  28.8 mph,N/A,	 ,Overcast
2017-2-13,9:51 AM,  36.0 °F,  25.6 °F,  21.0 °F,55%,  29.74 in,  10.0 mi,NW,  18.4 mph,  34.5 mph,N/A,	 ,Mostly Cloudy
2017-2-13,10:51 AM,  36.0 °F,  26.7 °F,  21.9 °F,57%,  29.76 in,  10.0 mi,WNW,  15.0 mph,  27.6 mph,N/A,	 ,Overcast
2017-2-13,11:51 AM,  37.0 °F,  27.7 °F,  19.9 °F,50%,  29.77 in,  10.0 mi,WNW,  16.1 mph,  34.5 mph,N/A,	 ,Overcast
2017-2-13,12:51 PM,  36.0 °F,  26.0 °F,  19.9 °F,52%,  29.79 in,  10.0 mi,NW,  17.3 mph,  36.8 mph,N/A,	 ,Overcast
2017-2-13,3:51 PM,  35.1 °F,  30.1 °F,  21.0 °F,57%,  29.84 in,  10.0 mi,Variable,  5.8 mph,  32.2 mph,N/A,	 ,Partly Cloudy
2017-2-13,4:51 PM,  35.1 °F,  24.8 °F,  18.0 °F,50%,  29.88 in,  10.0 mi,WNW,  17.3 mph,  26.5 mph,N/A,	 ,Scattered Clouds
2017-2-13,5:51 PM,  34.0 °F,  25.0 °F,  18.0 °F,52%,  29.92 in,  10.0 mi,NW,  12.7 mph,  23.0 mph,N/A,	 ,Clear
2017-2-13,6:51 PM,  33.1 °F,  28.7 °F,  16.0 °F,50%,  29.94 in,  10.0 mi,Variable,  4.6 mph,  25.3 mph,N/A,	 ,Clear
2017-2-13,7:51 PM,  32.0 °F,  24.2 °F,  17.1 °F,54%,  29.96 in,  10.0 mi,NW,  9.2 mph,  19.6 mph,N/A,	 ,Clear
2017-2-13,8:51 PM,  30.9 °F,  21.7 °F,  18.0 °F,59%,  29.96 in,  10.0 mi,WNW,  11.5 mph,  25.3 mph,N/A,	 ,Clear
2017-2-13,9:51 PM,  30.9 °F,  21.7 °F,  19.0 °F,61%,  29.96 in,  10.0 mi,WNW,  11.5 mph,  20.7 mph,N/A,	 ,Clear
2017-2-13,10:51 PM,  30.9 °F,  26.2 °F,  19.0 °F,61%,  29.97 in,  10.0 mi,Variable,  4.6 mph,  -,N/A,	 ,Scattered Clouds
2017-2-13,11:51 PM,  30.9 °F,  25.2 °F,  18.0 °F,59%,  29.98 in,  10.0 mi,Variable,  5.8 mph,  -,N/A,	 ,Overcast
2017-2-14,12:51 AM,  30.0 °F,  23.2 °F,  17.1 °F,59%,  29.96 in,  10.0 mi,Variable,  6.9 mph,  17.3 mph,N/A,	 ,Clear
2017-2-14,1:51 AM,  30.0 °F,  25.2 °F,  17.1 °F,59%,  29.97 in,  10.0 mi,Variable,  4.6 mph,  -,N/A,	 ,Mostly Cloudy
2017-2-14,2:51 AM,  30.0 °F,  -,  17.1 °F,59%,  29.96 in,  10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2017-2-14,3:51 AM,  28.9 °F,  23.9 °F,  17.1 °F,61%,  29.96 in,  10.0 mi,Variable,  4.6 mph,  -,N/A,	 ,Clear
2017-2-14,4:51 AM,  28.9 °F,  21.9 °F,  17.1 °F,61%,  29.97 in,  10.0 mi,WNW,  6.9 mph,  -,N/A,	 ,Clear
2017-2-14,5:51 AM,  28.0 °F,  21.7 °F,  17.1 °F,63%,  29.97 in,  10.0 mi,NW,  5.8 mph,  -,N/A,	 ,Clear
2017-2-14,6:51 AM,  28.9 °F,  -,  17.1 °F,61%,  29.98 in,  10.0 mi,North,  -,  -,N/A,	 ,Clear
2017-2-14,7:51 AM,  28.9 °F,  22.8 °F,  17.1 °F,61%,  29.99 in,  10.0 mi,WNW,  5.8 mph,  -,N/A,	 ,Clear
2017-2-14,8:51 AM,  30.0 °F,  -,  18.0 °F,61%,  29.97 in,  10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2017-2-14,9:51 AM,  30.9 °F,  27.5 °F,  18.0 °F,59%,  29.95 in,  10.0 mi,Variable,  3.5 mph,  -,N/A,	 ,Clear
2017-2-14,10:51 AM,  32.0 °F,  26.4 °F,  19.0 °F,59%,  29.94 in,  10.0 mi,West,  5.8 mph,  -,N/A,	 ,Clear
2017-2-14,11:51 AM,  33.1 °F,  26.1 °F,  19.0 °F,56%,  29.90 in,  10.0 mi,West,  8.1 mph,  -,N/A,	 ,Clear
2017-2-14,12:51 PM,  35.1 °F,  29.3 °F,  19.9 °F,54%,  29.86 in,  10.0 mi,SW,  6.9 mph,  -,N/A,	 ,Clear
2017-2-14,1:51 PM,  37.0 °F,  31.6 °F,  21.0 °F,52%,  29.84 in,  10.0 mi,SSW,  6.9 mph,  -,N/A,	 ,Clear
2017-2-14,2:51 PM,  37.9 °F,  32.7 °F,  21.0 °F,51%,  29.81 in,  10.0 mi,Variable,  6.9 mph,  -,N/A,	 ,Clear
2017-2-14,3:51 PM,  39.0 °F,  34.0 °F,  21.0 °F,49%,  29.81 in,  10.0 mi,Variable,  6.9 mph,  -,N/A,	 ,Clear
2017-2-14,4:51 PM,  39.9 °F,  36.7 °F,  21.9 °F,49%,  29.78 in,  10.0 mi,WSW,  4.6 mph,  -,N/A,	 ,Clear
2017-2-14,5:51 PM,  39.0 °F,  34.0 °F,  21.9 °F,50%,  29.78 in,  10.0 mi,West,  6.9 mph,  -,N/A,	 ,Clear
2017-2-14,6:51 PM,  39.9 °F,  32.5 °F,  23.0 °F,51%,  29.79 in,  10.0 mi,WSW,  12.7 mph,  18.4 mph,N/A,	 ,Clear
2017-2-14,7:51 PM,  39.9 °F,  -,  24.1 °F,53%,  29.78 in,  10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2017-2-14,8:51 PM,  39.9 °F,  37.8 °F,  27.0 °F,60%,  29.78 in,  10.0 mi,Variable,  3.5 mph,  -,N/A,	 ,Clear
2017-2-14,9:51 PM,  39.9 °F,  36.7 °F,  28.9 °F,65%,  29.76 in,  10.0 mi,Variable,  4.6 mph,  -,N/A,	 ,Clear
2017-2-14,10:51 PM,  39.0 °F,  35.7 °F,  28.0 °F,65%,  29.74 in,  10.0 mi,Variable,  4.6 mph,  -,N/A,	 ,Clear
2017-2-14,11:51 PM,  39.0 °F,  34.8 °F,  27.0 °F,62%,  29.73 in,  10.0 mi,Variable,  5.8 mph,  -,N/A,	 ,Clear
2017-2-15,12:51 AM,  37.9 °F,  32.7 °F,  27.0 °F,65%,  29.69 in,  10.0 mi,WSW,  6.9 mph,  -,N/A,	 ,Clear
2017-2-15,1:51 AM,  37.9 °F,  32.1 °F,  28.0 °F,68%,  29.68 in,  10.0 mi,WSW,  8.1 mph,  -,N/A,	 ,Clear
2017-2-15,2:51 AM,  37.0 °F,  31.6 °F,  28.9 °F,73%,  29.65 in,  10.0 mi,West,  6.9 mph,  -,N/A,	 ,Clear
2017-2-15,3:51 AM,  37.9 °F,  33.5 °F,  30.0 °F,73%,  29.61 in,  10.0 mi,WSW,  5.8 mph,  -,N/A,	 ,Clear
2017-2-15,4:51 AM,  37.9 °F,  32.1 °F,  30.0 °F,73%,  29.59 in,  10.0 mi,WSW,  8.1 mph,  -,N/A,	 ,Clear
2017-2-15,5:51 AM,  37.9 °F,  -,  28.9 °F,70%,  29.57 in,  10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2017-2-15,6:51 AM,  36.0 °F,  -,  30.0 °F,79%,  29.56 in,  10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2017-2-15,7:51 AM,  37.9 °F,  -,  32.0 °F,79%,  29.52 in,  8.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2017-2-15,8:51 AM,  39.0 °F,  34.8 °F,  32.0 °F,76%,  29.49 in,  8.0 mi,ENE,  5.8 mph,  -,N/A,	 ,Overcast
2017-2-15,9:51 AM,  39.9 °F,  36.7 °F,  32.0 °F,73%,  29.47 in,  7.0 mi,WNW,  4.6 mph,  -,N/A,	 ,Mostly Cloudy
2017-2-15,10:51 AM,  43.0 °F,  40.3 °F,  30.0 °F,60%,  29.45 in,  9.0 mi,West,  4.6 mph,  -,N/A,	 ,Overcast
2017-2-15,11:51 AM,  43.0 °F,  -,  28.9 °F,58%,  29.41 in,  10.0 mi,North,  -,  -,N/A,	 ,Clear
2017-2-15,12:51 PM,  44.1 °F,  -,  30.0 °F,58%,  29.37 in,  8.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
2017-2-15,1:51 PM,  45.0 °F,  -,  30.0 °F,56%,  29.34 in,  8.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2017-2-15,2:51 PM,  46.0 °F,  43.9 °F,  30.9 °F,56%,  29.32 in,  8.0 mi,Variable,  4.6 mph,  -,N/A,	 ,Clear
2017-2-15,3:51 PM,  46.0 °F,  -,  30.9 °F,56%,  29.30 in,  9.0 mi,North,  -,  -,N/A,	 ,Mostly Cloudy
2017-2-15,4:51 PM,  44.1 °F,  36.2 °F,  30.0 °F,58%,  29.32 in,  10.0 mi,West,  18.4 mph,  28.8 mph,  0.00 in,	 ,Overcast
2017-2-15,5:51 PM,  41.0 °F,  33.9 °F,  30.9 °F,67%,  29.35 in,  10.0 mi,West,  12.7 mph,  21.9 mph,N/A,	 ,Overcast
2017-2-15,6:16 PM,  37.9 °F,  31.5 °F,  33.1 °F,83%,  29.39 in,  10.0 mi,WNW,  9.2 mph,  27.6 mph,  0.00 in,	 ,Overcast
2017-2-15,6:23 PM,  37.0 °F,  31.0 °F,  32.0 °F,82%,  29.39 in,  10.0 mi,WNW,  8.1 mph,  20.7 mph,  0.00 in,	 ,Overcast
2017-2-15,6:51 PM,  37.9 °F,  30.9 °F,  32.0 °F,79%,  29.38 in,  10.0 mi,WNW,  10.4 mph,  19.6 mph,  0.00 in,	 ,Overcast
2017-2-15,7:07 PM,  37.0 °F,  31.0 °F,  32.0 °F,82%,  29.41 in,  10.0 mi,WNW,  8.1 mph,  -,N/A,	 ,Overcast
2017-2-15,7:16 PM,  37.0 °F,  32.4 °F,  30.9 °F,79%,  29.41 in,  10.0 mi,Variable,  5.8 mph,  -,N/A,	 ,Overcast
2017-2-15,7:51 PM,  37.9 °F,  32.7 °F,  28.9 °F,70%,  29.40 in,  10.0 mi,WNW,  6.9 mph,  -,N/A,	 ,Overcast
2017-2-15,8:51 PM,  37.0 °F,  31.0 °F,  26.1 °F,65%,  29.42 in,  10.0 mi,WNW,  8.1 mph,  -,N/A,	 ,Partly Cloudy
2017-2-15,9:51 PM,  36.0 °F,  29.0 °F,  25.0 °F,64%,  29.43 in,  10.0 mi,WNW,  9.2 mph,  17.3 mph,N/A,	 ,Clear
2017-2-15,10:51 PM,  36.0 °F,  28.5 °F,  24.1 °F,62%,  29.44 in,  10.0 mi,WNW,  10.4 mph,  19.6 mph,N/A,	 ,Clear
2017-2-15,11:51 PM,  35.1 °F,  26.9 °F,  24.1 °F,64%,  29.45 in,  10.0 mi,WNW,  11.5 mph,  17.3 mph,N/A,	 ,Mostly Cloudy
2017-2-16,12:51 AM,  35.1 °F,  26.9 °F,  24.1 °F,64%,  29.46 in,  10.0 mi,WNW,  11.5 mph,  20.7 mph,N/A,	 ,Mostly Cloudy
2017-2-16,1:51 AM,  33.1 °F,  24.4 °F,  21.9 °F,64%,  29.47 in,  10.0 mi,WNW,  11.5 mph,  23.0 mph,N/A,	 ,Clear
2017-2-16,2:51 AM,  32.0 °F,  24.2 °F,  19.0 °F,59%,  29.46 in,  10.0 mi,WNW,  9.2 mph,  20.7 mph,N/A,	 ,Clear
2017-2-16,3:51 AM,  32.0 °F,  24.2 °F,  18.0 °F,56%,  29.47 in,  10.0 mi,WNW,  9.2 mph,  24.2 mph,N/A,	 ,Overcast
2017-2-16,4:51 AM,  32.0 °F,  25.6 °F,  19.0 °F,59%,  29.49 in,  10.0 mi,West,  6.9 mph,  20.7 mph,N/A,	 ,Overcast
2017-2-16,5:51 AM,  32.0 °F,  23.0 °F,  17.1 °F,54%,  29.50 in,  10.0 mi,West,  11.5 mph,  27.6 mph,N/A,	 ,Overcast
2017-2-16,6:51 AM,  30.9 °F,  23.5 °F,  17.1 °F,57%,  29.53 in,  10.0 mi,WNW,  8.1 mph,  23.0 mph,N/A,	 ,Mostly Cloudy
2017-2-16,7:51 AM,  30.9 °F,  22.8 °F,  17.1 °F,57%,  29.55 in,  10.0 mi,WNW,  9.2 mph,  20.7 mph,N/A,	 ,Overcast
2017-2-16,8:51 AM,  30.9 °F,  21.7 °F,  15.1 °F,52%,  29.57 in,  10.0 mi,West,  11.5 mph,  26.5 mph,N/A,	 ,Overcast
2017-2-16,9:51 AM,  30.9 °F,  22.8 °F,  16.0 °F,54%,  29.58 in,  10.0 mi,NW,  9.2 mph,  23.0 mph,N/A,	 ,Overcast
2017-2-16,10:51 AM,  32.0 °F,  22.5 °F,  15.1 °F,50%,  29.59 in,  10.0 mi,WNW,  12.7 mph,  24.2 mph,N/A,	 ,Scattered Clouds
2017-2-16,12:51 PM,  34.0 °F,  27.2 °F,  15.1 °F,46%,  29.59 in,  10.0 mi,WNW,  8.1 mph,  20.7 mph,N/A,	 ,Mostly Cloudy
2017-2-16,1:51 PM,  35.1 °F,  26.9 °F,  14.0 °F,42%,  29.60 in,  10.0 mi,WNW,  11.5 mph,  24.2 mph,N/A,	 ,Scattered Clouds
2017-2-16,2:51 PM,  34.0 °F,  24.2 °F,  12.9 °F,42%,  29.60 in,  10.0 mi,NW,  15.0 mph,  28.8 mph,N/A,	 ,Scattered Clouds
2017-2-16,3:51 PM,  34.0 °F,  24.6 °F,  14.0 °F,44%,  29.62 in,  10.0 mi,NW,  13.8 mph,  23.0 mph,N/A,	 ,Clear
2017-2-16,4:51 PM,  33.1 °F,  25.5 °F,  14.0 °F,46%,  29.65 in,  10.0 mi,WNW,  9.2 mph,  24.2 mph,N/A,	 ,Partly Cloudy
2017-2-16,5:51 PM,  32.0 °F,  23.6 °F,  12.9 °F,45%,  29.68 in,  10.0 mi,WNW,  10.4 mph,  23.0 mph,N/A,	 ,Clear
2017-2-16,6:51 PM,  30.9 °F,  25.2 °F,  14.0 °F,50%,  29.71 in,  10.0 mi,Variable,  5.8 mph,  20.7 mph,N/A,	 ,Clear
2017-2-16,7:51 PM,  30.0 °F,  21.1 °F,  12.9 °F,49%,  29.74 in,  10.0 mi,NW,  10.4 mph,  18.4 mph,N/A,	 ,Scattered Clouds
2017-2-16,8:51 PM,  30.0 °F,  20.5 °F,  12.9 °F,49%,  29.76 in,  10.0 mi,NW,  11.5 mph,  25.3 mph,N/A,	 ,Clear
2017-2-16,9:51 PM,  28.9 °F,  20.4 °F,  14.0 °F,54%,  29.77 in,  10.0 mi,NW,  9.2 mph,  25.3 mph,N/A,	 ,Partly Cloudy
2017-2-16,10:51 PM,  28.0 °F,  18.1 °F,  12.9 °F,53%,  29.78 in,  10.0 mi,NW,  11.5 mph,  25.3 mph,N/A,	 ,Partly Cloudy
2017-2-16,11:51 PM,  28.0 °F,  17.5 °F,  12.9 °F,53%,  29.79 in,  10.0 mi,NW,  12.7 mph,  23.0 mph,N/A,	 ,Partly Cloudy
2017-2-17,12:51 AM,  28.0 °F,  20.0 °F,  14.0 °F,56%,  29.80 in,  10.0 mi,WNW,  8.1 mph,  -,N/A,	 ,Clear
2017-2-17,1:51 AM,  28.0 °F,  22.8 °F,  12.9 °F,53%,  29.81 in,  10.0 mi,Variable,  4.6 mph,  -,N/A,	 ,Clear
2017-2-17,2:51 AM,  28.0 °F,  18.6 °F,  14.0 °F,56%,  29.81 in,  10.0 mi,West,  10.4 mph,  24.2 mph,N/A,	 ,Clear
2017-2-17,3:51 AM,  27.0 °F,  18.0 °F,  14.0 °F,58%,  29.81 in,  10.0 mi,WNW,  9.2 mph,  18.4 mph,N/A,	 ,Clear
2017-2-17,4:51 AM,  27.0 °F,  16.7 °F,  14.0 °F,58%,  29.83 in,  10.0 mi,WNW,  11.5 mph,  21.9 mph,N/A,	 ,Clear
2017-2-17,5:51 AM,  27.0 °F,  15.6 °F,  14.0 °F,58%,  29.84 in,  10.0 mi,WNW,  13.8 mph,  21.9 mph,N/A,	 ,Clear
2017-2-17,6:51 AM,  26.1 °F,  17.6 °F,  14.0 °F,60%,  29.85 in,  10.0 mi,West,  8.1 mph,  -,N/A,	 ,Clear
2017-2-17,7:51 AM,  27.0 °F,  19.5 °F,  15.1 °F,61%,  29.86 in,  10.0 mi,Variable,  6.9 mph,  -,N/A,	 ,Clear
2017-2-17,8:51 AM,  28.0 °F,  19.3 °F,  15.1 °F,58%,  29.86 in,  10.0 mi,WNW,  9.2 mph,  23.0 mph,N/A,	 ,Clear
2017-2-17,9:51 AM,  30.0 °F,  22.4 °F,  15.1 °F,54%,  29.86 in,  10.0 mi,West,  8.1 mph,  21.9 mph,N/A,	 ,Clear
2017-2-17,10:51 AM,  33.1 °F,  -,  15.1 °F,48%,  29.86 in,  10.0 mi,North,  -,  -,N/A,	 ,Clear
2017-2-17,11:51 AM,  36.0 °F,  28.0 °F,  14.0 °F,41%,  29.85 in,  10.0 mi,NW,  11.5 mph,  18.4 mph,N/A,	 ,Clear
2017-2-17,12:51 PM,  37.9 °F,  32.7 °F,  15.1 °F,39%,  29.82 in,  10.0 mi,Variable,  6.9 mph,  17.3 mph,N/A,	 ,Clear
2017-2-17,1:51 PM,  39.0 °F,  32.8 °F,  14.0 °F,36%,  29.81 in,  10.0 mi,NW,  9.2 mph,  -,N/A,	 ,Clear
2017-2-17,2:51 PM,  41.0 °F,  34.3 °F,  14.0 °F,33%,  29.81 in,  10.0 mi,WNW,  11.5 mph,  19.6 mph,N/A,	 ,Clear
2017-2-17,3:51 PM,  41.0 °F,  36.4 °F,  14.0 °F,33%,  29.81 in,  10.0 mi,WNW,  6.9 mph,  -,N/A,	 ,Clear
2017-2-17,4:51 PM,  41.0 °F,  -,  14.0 °F,33%,  29.83 in,  10.0 mi,North,  -,  -,N/A,	 ,Clear
2017-2-17,5:51 PM,  39.9 °F,  -,  15.1 °F,36%,  29.84 in,  10.0 mi,North,  -,  -,N/A,	 ,Clear
2017-2-17,6:51 PM,  39.9 °F,  33.9 °F,  15.1 °F,36%,  29.87 in,  10.0 mi,WNW,  9.2 mph,  -,N/A,	 ,Clear
2017-2-17,7:51 PM,  39.0 °F,  -,  15.1 °F,38%,  29.87 in,  10.0 mi,North,  -,  -,N/A,	 ,Clear
2017-2-17,8:51 PM,  39.0 °F,  34.0 °F,  15.1 °F,38%,  29.89 in,  10.0 mi,West,  6.9 mph,  -,N/A,	 ,Clear
2017-2-17,9:51 PM,  37.9 °F,  32.7 °F,  15.1 °F,39%,  29.91 in,  10.0 mi,West,  6.9 mph,  -,N/A,	 ,Clear
2017-2-17,10:51 PM,  37.9 °F,  33.5 °F,  15.1 °F,39%,  29.90 in,  10.0 mi,West,  5.8 mph,  -,N/A,	 ,Clear
2017-2-17,11:51 PM,  37.0 °F,  33.3 °F,  15.1 °F,41%,  29.89 in,  10.0 mi,WNW,  4.6 mph,  -,N/A,	 ,Clear
2017-2-18,12:51 AM,  37.0 °F,  33.3 °F,  15.1 °F,41%,  29.89 in,  10.0 mi,WNW,  4.6 mph,  -,N/A,	 ,Clear
2017-2-18,1:51 AM,  36.0 °F,  -,  14.0 °F,41%,  29.89 in,  10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2017-2-18,2:51 AM,  37.0 °F,  34.5 °F,  14.0 °F,39%,  29.88 in,  10.0 mi,Variable,  3.5 mph,  -,N/A,	 ,Clear
2017-2-18,3:51 AM,  36.0 °F,  -,  16.0 °F,44%,  29.86 in,  10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2017-2-18,4:51 AM,  37.0 °F,  34.5 °F,  18.0 °F,46%,  29.87 in,  10.0 mi,Variable,  3.5 mph,  -,N/A,	 ,Clear
2017-2-18,5:51 AM,  37.9 °F,  35.5 °F,  17.1 °F,43%,  29.86 in,  10.0 mi,WSW,  3.5 mph,  -,N/A,	 ,Clear
2017-2-18,6:51 AM,  37.9 °F,  33.5 °F,  19.0 °F,47%,  29.85 in,  10.0 mi,Variable,  5.8 mph,  -,N/A,	 ,Clear
2017-2-18,7:51 AM,  39.0 °F,  36.8 °F,  18.0 °F,43%,  29.85 in,  10.0 mi,WSW,  3.5 mph,  -,N/A,	 ,Clear
2017-2-18,8:51 AM,  42.1 °F,  36.6 °F,  19.0 °F,40%,  29.85 in,  10.0 mi,WSW,  9.2 mph,  16.1 mph,N/A,	 ,Clear
2017-2-18,9:51 AM,  43.0 °F,  38.2 °F,  21.9 °F,43%,  29.85 in,  10.0 mi,WSW,  8.1 mph,  18.4 mph,N/A,	 ,Clear
2017-2-18,10:51 AM,  46.9 °F,  -,  24.1 °F,41%,  29.81 in,  10.0 mi,North,  -,  -,N/A,	 ,Clear
2017-2-18,11:51 AM,  51.1 °F,  -,  27.0 °F,39%,  29.77 in,  10.0 mi,West,  4.6 mph,  -,N/A,	 ,Clear
2017-2-18,12:51 PM,  55.0 °F,  -,  28.9 °F,37%,  29.71 in,  10.0 mi,WSW,  8.1 mph,  -,N/A,	 ,Clear
2017-2-18,1:51 PM,  60.1 °F,  -,  30.9 °F,33%,  29.68 in,  10.0 mi,Variable,  3.5 mph,  19.6 mph,N/A,	 ,Clear
2017-2-18,2:51 PM,  61.0 °F,  -,  32.0 °F,34%,  29.67 in,  10.0 mi,North,  -,  -,N/A,	 ,Clear
2017-2-18,3:51 PM,  63.0 °F,  -,  33.1 °F,33%,  29.67 in,  10.0 mi,WSW,  6.9 mph,  -,N/A,	 ,Clear
2017-2-18,4:51 PM,  62.1 °F,  -,  33.1 °F,34%,  29.66 in,  10.0 mi,Variable,  3.5 mph,  -,N/A,	 ,Clear
2017-2-18,5:51 PM,  61.0 °F,  -,  33.1 °F,35%,  29.67 in,  10.0 mi,SW,  5.8 mph,  -,N/A,	 ,Clear
2017-2-18,6:51 PM,  62.1 °F,  -,  32.0 °F,32%,  29.66 in,  10.0 mi,Variable,  3.5 mph,  -,N/A,	 ,Clear
2017-2-18,7:51 PM,  62.1 °F,  -,  30.9 °F,31%,  29.66 in,  10.0 mi,WSW,  13.8 mph,  21.9 mph,N/A,	 ,Clear
2017-2-18,8:51 PM,  61.0 °F,  -,  30.9 °F,32%,  29.67 in,  10.0 mi,WSW,  10.4 mph,  19.6 mph,N/A,	 ,Clear
2017-2-18,9:51 PM,  60.1 °F,  -,  30.9 °F,33%,  29.67 in,  10.0 mi,WSW,  11.5 mph,  23.0 mph,N/A,	 ,Clear
2017-2-18,10:51 PM,  60.1 °F,  -,  30.9 °F,33%,  29.66 in,  10.0 mi,WSW,  11.5 mph,  19.6 mph,N/A,	 ,Clear
2017-2-18,11:51 PM,  59.0 °F,  -,  32.0 °F,36%,  29.66 in,  10.0 mi,North,  -,  -,N/A,	 ,Clear
2017-2-19,12:51 AM,  59.0 °F,  30.9 °F,35%,  29.67 in,  10.0 mi,Variable,  5.8 mph,  -,N/A,	 ,Clear
2017-2-19,1:51 AM,  59.0 °F,  30.9 °F,35%,  29.68 in,  10.0 mi,West,  6.9 mph,  -,N/A,	 ,Clear
2017-2-19,2:51 AM,  57.0 °F,  32.0 °F,39%,  29.69 in,  10.0 mi,Variable,  4.6 mph,  -,N/A,	 ,Partly Cloudy
2017-2-19,3:51 AM,  55.9 °F,  32.0 °F,40%,  29.71 in,  10.0 mi,Variable,  3.5 mph,  -,N/A,	 ,Clear
2017-2-19,4:51 AM,  55.9 °F,  32.0 °F,40%,  29.72 in,  10.0 mi,West,  4.6 mph,  -,N/A,	 ,Clear
2017-2-19,5:51 AM,  55.0 °F,  33.1 °F,43%,  29.73 in,  10.0 mi,Variable,  3.5 mph,  -,N/A,	 ,Clear
2017-2-19,6:51 AM,  55.9 °F,  34.0 °F,44%,  29.75 in,  10.0 mi,West,  5.8 mph,  -,N/A,	 ,Overcast
2017-2-19,7:51 AM,  57.0 °F,  35.1 °F,44%,  29.78 in,  10.0 mi,West,  4.6 mph,  -,N/A,	 ,Scattered Clouds
2017-2-19,8:51 AM,  57.0 °F,  35.1 °F,44%,  29.81 in,  10.0 mi,West,  5.8 mph,  -,N/A,	 ,Mostly Cloudy
2017-2-19,9:51 AM,  57.9 °F,  36.0 °F,44%,  29.81 in,  10.0 mi,West,  6.9 mph,  -,N/A,	 ,Clear
2017-2-19,10:51 AM,  61.0 °F,  36.0 °F,39%,  29.81 in,  10.0 mi,West,  8.1 mph,  -,N/A,	 ,Clear
2017-2-19,11:51 AM,  61.0 °F,  34.0 °F,36%,  29.81 in,  10.0 mi,NW,  8.1 mph,  -,N/A,	 ,Clear
2017-2-19,12:51 PM,  63.0 °F,  35.1 °F,35%,  29.80 in,  10.0 mi,WNW,  6.9 mph,  -,N/A,	 ,Clear
2017-2-19,1:51 PM,  64.0 °F,  33.1 °F,31%,  29.79 in,  10.0 mi,Variable,  6.9 mph,  -,N/A,	 ,Clear
2017-2-19,2:51 PM,  64.9 °F,  30.0 °F,27%,  29.79 in,  10.0 mi,West,  6.9 mph,  -,N/A,	 ,Clear
2017-2-19,3:51 PM,  64.0 °F,  30.9 °F,29%,  29.82 in,  10.0 mi,WNW,  8.1 mph,  -,N/A,	 ,Clear
2017-2-19,4:51 PM,  64.0 °F,  28.0 °F,26%,  29.84 in,  10.0 mi,WNW,  8.1 mph,  18.4 mph,N/A,	 ,Clear
2017-2-19,5:51 PM,  62.1 °F,  28.9 °F,29%,  29.87 in,  10.0 mi,Variable,  3.5 mph,  -,N/A,	 ,Clear
2017-2-19,6:51 PM,  61.0 °F,  28.9 °F,30%,  29.88 in,  10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2017-2-19,7:51 PM,  60.1 °F,  28.9 °F,31%,  29.90 in,  10.0 mi,WNW,  3.5 mph,  -,N/A,	 ,Clear
2017-2-19,8:51 PM,  57.9 °F,  30.0 °F,35%,  29.94 in,  10.0 mi,North,  5.8 mph,  -,N/A,	 ,Clear
2017-2-19,9:51 PM,  55.9 °F,  30.9 °F,39%,  29.96 in,  10.0 mi,North,  5.8 mph,  -,N/A,	 ,Clear
2017-2-19,10:51 PM,  55.0 °F,  30.9 °F,40%,  29.97 in,  10.0 mi,NW,  5.8 mph,  -,N/A,	 ,Clear
2017-2-19,11:51 PM,  54.0 °F,  32.0 °F,43%,  29.98 in,  10.0 mi,Variable,  3.5 mph,  -,N/A,	 ,Clear
2017-2-20,12:51 AM,  52.0 °F,  -,  33.1 °F,49%,  30.00 in,  10.0 mi,WNW,  5.8 mph,  -,N/A,	 ,Clear
2017-2-20,1:51 AM,  50.0 °F,  -,  33.1 °F,52%,  30.01 in,  10.0 mi,WNW,  8.1 mph,  -,N/A,	 ,Clear
2017-2-20,2:51 AM,  48.9 °F,  -,  32.0 °F,52%,  30.02 in,  10.0 mi,Variable,  6.9 mph,  -,N/A,	 ,Clear
2017-2-20,3:51 AM,  46.9 °F,  -,  30.9 °F,54%,  30.05 in,  10.0 mi,Variable,  5.8 mph,  -,N/A,	 ,Clear
2017-2-20,4:51 AM,  45.0 °F,  42.6 °F,  30.9 °F,58%,  30.08 in,  10.0 mi,WNW,  4.6 mph,  -,N/A,	 ,Clear
