2017-1-2,2:19 PM,  39.0 °F,  31.8 °F,  37.0 °F,93%,  30.42 in,  5.0 mi,East,  11.5 mph,  -,  0.01 in,Rain,Light Rain
2017-1-2,2:46 PM,  39.2 °F,  32.5 °F,  37.4 °F,93%,  30.42 in,  5.0 mi,ENE,  10.4 mph,  16.1 mph,  0.02 in,Rain,Light Rain
2017-1-2,2:51 PM,  39.0 °F,  32.3 °F,  37.0 °F,93%,  30.40 in,  5.0 mi,ENE,  10.4 mph,  -,  0.02 in,Rain,Light Rain
2017-1-2,3:02 PM,  39.0 °F,  33.4 °F,  37.0 °F,93%,  30.43 in,  5.0 mi,ENE,  8.1 mph,  -,  0.01 in,Rain,Light Rain
2017-1-2,3:38 PM,  39.0 °F,  32.3 °F,  37.0 °F,93%,  30.42 in,  9.0 mi,East,  10.4 mph,  -,  0.02 in,	 ,Overcast
2017-1-2,3:51 PM,  39.9 °F,  33.9 °F,  37.0 °F,89%,  30.40 in,  7.0 mi,NE,  9.2 mph,  17.3 mph,  0.02 in,	 ,Overcast
2017-1-2,4:51 PM,  39.0 °F,  33.4 °F,  37.0 °F,93%,  30.39 in,  4.0 mi,East,  8.1 mph,  -,  0.02 in,Rain,Light Rain
2017-1-2,5:51 PM,  39.0 °F,  31.8 °F,  37.0 °F,93%,  30.38 in,  3.0 mi,ENE,  11.5 mph,  -,  0.02 in,Rain,Light Rain
2017-1-2,6:25 PM,  39.0 °F,  32.3 °F,  37.9 °F,96%,  30.40 in,  2.5 mi,ENE,  10.4 mph,  -,  0.02 in,Rain,Light Rain
2017-1-2,6:34 PM,  39.0 °F,  32.8 °F,  37.9 °F,96%,  30.39 in,  3.0 mi,ENE,  9.2 mph,  -,  0.02 in,Rain,Light Rain
2017-1-2,6:51 PM,  39.0 °F,  31.4 °F,  37.9 °F,96%,  30.37 in,  4.0 mi,ENE,  12.7 mph,  19.6 mph,  0.03 in,	 ,Overcast
2017-1-2,7:51 PM,  39.0 °F,  31.4 °F,  37.9 °F,96%,  30.36 in,  6.0 mi,ENE,  12.7 mph,  20.7 mph,N/A,	 ,Overcast
2017-1-2,8:51 PM,  39.0 °F,  30.6 °F,  37.9 °F,96%,  30.31 in,  6.0 mi,ENE,  15.0 mph,  23.0 mph,N/A,	 ,Overcast
