neighborhood,alone_hhld,bachelor_higher,bornstate,carfree,commutetime,disabled,disconnected,foreign,gross_rent_adj,hhu18,homeownership,housing_units,income_diversity_ratio,laborforcerate,medhhincome_adj,medhhincome_own_adj,medhhincome_rent_adj,nohsdiploma,park_share,pasian,pblack,phisp,pop65,population,population_density,pov65older,povrate,povunder18,prof_pct_ela,prof_pct_math,prop_rt,pwhite,rdindex,rent_pct_nycha,rentvacrate,serious_viol_rate,sevcrowd,subway_share,tot_rt,total_viol_rate,unemprate,viol_rt,volume_al
morrisania-crotona,0.322454264,0.13381107,0.501848461,0.780558038,44.04312713,0.16083523,0.077759013,0.353204761,970,0.399039281,0.067948762,62272,5.137614679,0.568694836,25810,66070,23710,0.325056893,0.976645306,0.01052993,0.289710427,0.638617374,0.093813666,174740,39.97712194,0.333623856,0.363161683,0.469278152,0.204290092,0.194331984,6.970737945,0.04975392,0.505649386,0.26469356,0.032849187,90.57834058,0.055343734,0.882133204,17.1008751,439.0946891,0.116321478,10.13013716,90
mott-haven-melrose,0.285313519,0.09880524,0.567702319,0.792356485,43.34637878,0.134603955,0.194706645,0.30936658,950,0.427572219,0.074569717,57275,5.979166667,0.53114762,27310,81560,25520,0.369325892,0.982933934,0.00880485,0.292701116,0.668254427,0.074504427,166272,34.23347746,0.372576291,0.369277987,0.469594669,0.232380952,0.202077432,11.49764473,0.018132939,0.467355749,0.39950523,0.027645915,85.58536466,0.040088608,1,25.11557756,401.5890922,0.105552784,13.61793283,87
park-slope-carroll-gardens,0.321912214,0.71623896,0.489619059,0.902942564,39.63562643,0.060976091,0.034383033,0.151402984,2030,0.31318516,0.366041873,51064,4.982222222,0.74156824,103870,146330,87610,0.08900245,0.801418833,0.056470217,0.098748323,0.143122791,0.094274913,114007,28.47327672,0.164825665,0.105800262,0.100159163,0.704545455,0.691401649,7.659322503,0.644056944,0.551766403,0.12380622,0.023411065,14.55389848,0.026219684,0.95656672,10.44800351,71.78833072,0.053580621,2.788681011,409
parkchester-soundview,0.249996059,0.15533161,0.515069344,0.686004417,48.44015056,0.122332777,0.075020442,0.350517491,1150,0.38456324,0.218718963,66637,5.013333333,0.601622525,37460,68940,33120,0.292180423,0.682583088,0.083688677,0.28296419,0.560525771,0.109827158,193240,43.45401394,0.223068763,0.280115076,0.370670845,0.283195592,0.273218143,6.552600727,0.029072656,0.597893113,0.40018412,0.021595657,94.28738926,0.054462361,0.777675821,13.01814299,446.7170401,0.095955762,6.465542258,494
queens-village,0.175395425,0.29237867,0.51065777,0.39983127,46.67744119,0.061185244,0.047623883,0.414520716,1510,0.352793429,0.72539203,63038,4.055944056,0.656365863,80550,93590,54030,0.123748424,0.512196393,0.146528579,0.549595402,0.129569534,0.159047081,214163,10.89555352,0.078769805,0.083300886,0.15376541,0.467207995,0.412935323,6.02885579,0.106587039,0.648325209,0.079515986,0.032955716,31.04160051,0.021713407,0.217505017,8.971700965,111.225786,0.065244993,2.942845175,976
rego-park-forest-hills,0.426625496,0.59453751,0.382744115,0.68610892,45.04280245,0.084938121,0.080968858,0.513058266,1570,0.186323751,0.463425121,56714,5.9248,0.619940451,70570,82280,61940,0.073443201,0.659971738,0.292902533,0.030833259,0.139479101,0.194844715,111730,40.08970219,0.169573508,0.131412591,0.13448667,0.639380531,0.633802817,4.246978112,0.503830663,0.63995766,0.022771806,0.023875927,13.94400944,0.032334495,0.902828984,5.165243649,79.64174622,0.044450788,0.918265538,267
ridgewood-maspeth,0.20310216,0.28843817,0.537206646,0.620834538,42.70496965,0.052626737,0.087994891,0.391028037,1490,0.33962969,0.431151535,67232,4.307142857,0.674389745,74710,86380,65680,0.138758166,0.483111323,0.080358256,0.014257529,0.366656282,0.110981308,192600,26.29710541,0.104484733,0.090931378,0.116294105,0.521416334,0.55518018,5.674094214,0.523831776,0.584502715,0,0.039359804,16.89994816,0.018933829,0.53992217,7.90826881,92.74235355,0.044258532,2.234174597,654
riverdale-fieldston,0.338298781,0.37552029,0.475405319,0.660442104,45.94894661,0.102219302,0.044362292,0.392430993,1310,0.284856967,0.321742018,44552,4.748201439,0.646707922,58300,97720,45770,0.189393066,0.784803293,0.04561613,0.121333762,0.504083039,0.174169843,108865,31.85049737,0.150354095,0.178226608,0.237578693,0.456521739,0.421052632,6.291101041,0.303926882,0.636726028,0.046211429,0.030658592,52.92506846,0.039828192,0.797619581,9.161415891,281.9019169,0.066051724,2.87031485,136
rockaway-broad-channel,0.304994198,0.27710017,0.664604611,0.466948978,52.33453832,0.171720436,0.071967702,0.259559903,1040,0.363155096,0.342486946,45418,6.468571429,0.592180092,44360,89270,31520,0.220269858,0.776471699,0.038954004,0.354778185,0.272882141,0.13626051,127381,11.25970123,0.200714629,0.228162198,0.308492989,0.294885745,0.245937161,6.262067526,0.299055589,0.708716117,0.20553282,0.047547056,35.46205113,0.031706349,0.787062869,11.87183635,194.8174674,0.089989834,5.609768825,452
sheepshead-bay,0.27542293,0.40501275,0.459787318,0.607453435,44.27709079,0.08121662,0.047828823,0.488645868,1300,0.283890098,0.459849511,62174,5.132743363,0.602057597,60150,78040,43850,0.161856364,0.562200681,0.165435142,0.038863769,0.112069779,0.186954854,159017,36.65675427,0.196635909,0.161769079,0.204452116,0.55840708,0.573630137,5.136235515,0.644578882,0.543079251,0.071396179,0.032195312,21.00206865,0.037956449,0.653234474,7.15314751,139.9670418,0.074643676,2.016911995,551
